Artistes;Artistes - nom corrig�;ID
Cherish;Cherish;184
Cheryl;Cheryl;185
Chicane;Chicane;186
Childish Gambino;Childish Gambino;187
Chingy;Chingy;188
Chip;Chip;189
Chord Overstreet;Chord Overstreet;190
Chris Brown;Chris Brown;191
Chris Stapleton;Chris Stapleton;192
Christina Aguilera;Christina Aguilera;193
Christina Milian;Christina Milian;194
Christina Perri;Christina Perri;195
Christopher Cross;Christopher Cross;196
Chuck Berry;Chuck Berry;197
Ciara;Ciara;198
Clean Bandit;Clean Bandit;199
CNCO;CNCO;200
Cobra Starship;Cobra Starship;201
Colby O'Donis;Colby O Donis;202
Coldplay;Coldplay;203
Counting Crows;Counting Crows;204
Craig David;Craig David;205
Crazy Frog;Crazy Frog;206
Crazy Town;Crazy Town;207
Cream;Cream;208
Creed;Creed;209
Creedence Clearwater Revival;Creedence Clearwater Revival;210
Curtis Mayfield;Curtis Mayfield;211
D12;D12;212
D4L;D4L;213
Da Brat;Da Brat;214
DaBaby;DaBaby;215
Daddy Yankee;Daddy Yankee;216
Daft Punk;Daft Punk;217
Daft Punk feat Pharrell Williams & Nile Rodgers;Daft Punk;217
Daniel Bedingfield;Daniel Bedingfield;218
Daniel Powter;Daniel Powter;219
Danity Kane;Danity Kane;220
Darude;Darude;221
Daughtry;Daughtry;222
Dave;Dave;223
Dave Matthews Band;Dave Matthews Band;224
David Archuleta;David Archuleta;225
David Banner;David Banner;226
David Bowie;David Bowie;227
David Guetta;David Guetta;228
Daya;Daya;229
DB Boulevard;DB Boulevard;230
Dead & Company;Dead and Company;231
Dean Lewis;Dean Lewis;232
Debelah Morgan;Debelah Morgan;233
Def Leppard;Def Leppard;234
Default;Default;235
Delta Goodrem;Delta Goodrem;236
Dem Franchize Boyz;Dem Franchize Boyz;237
Demi Lovato;Demi Lovato;238
Dennis Lloyd;Dennis Lloyd;239
Deorro;Deorro;240
Desiigner;Desiigner;241
Destiny's Child;Destiny s Child;242
DEV;DEV;243
Diana Ross and the Supremes;Diana Ross and the Supremes;244
Diddy;Diddy;245
Diddy - Dirty Money;Dirty Money;247
Dido;Dido;246
Dirty Vegas;Dirty Vegas;248
Disclosure;Disclosure;249
Disturbing Tha Peace;Disturbing Tha Peace;250
Dixie Chicks;Dixie Chicks;251
Dizzee Rascal;Dizzee Rascal;252
DJ Ötzi;DJ Otzi;256
DJ Casper;DJ Casper;253
DJ Fresh;DJ Fresh;254
DJ Khaled;DJ Khaled;255
DJ Pied Piper & The Masters Of Ceremonies;DJ Pied Piper and The Masters Of Ceremonies;257
DJ Sammy;DJ Sammy;258
DJ Snake;DJ Snake;259
DMX;DMX;260
