Artistes;Artistes - nom corrig�;ID
Shontelle;Shontelle;825
Shop Boyz;Shop Boyz;826
Sia;Sia;827
Sidney Samson;Sidney Samson;828
Sigala;Sigala;829
Sigma;Sigma;830
Silentó;Silento;831
Silk Sonic;Silk Sonic;832
Simon & Garfunkel;Simon and Garfunkel;833
Simply Red;Simply Red;834
Sisqo;Sisqo;835
Skillet;Skillet;836
Skrillex;Skrillex;837
Sly & The Family Stone;Sly and The Family Stone;838
Smokey Robinson & The Miracles;Smokey Robinson;839
Snoop Dogg;Snoop Dogg;840
Snow Patrol;Snow Patrol;841
So Solid Crew;So Solid Crew;842
Sofía Reyes;Sofia Reyes;843
Sonique;Sonique;844
Sophie Ellis-Bextor;Sophie Ellis Bextor;845
Soulja Boy;Soulja Boy;846
Special D.;Special D.;847
Spiderbait;Spiderbait;848
Staind;Staind;849
Stan Getz;Stan Getz;850
Stan Getz & Joao Gilberto;Stan Getz;850
Starley;Starley;851
Steely Dan;Steely Dan;852
Steps;Steps;853
Stereophonics;Stereophonics;854
Steve Aoki;Steve Aoki;855
Steve Winwood;Steve Winwood;856
Stevie Wonder;Stevie Wonder;857
Sting;Sting;858
Storm Queen;Storm Queen;859
Stormzy;Stormzy;860
Stromae;Stromae;861
Sugababes;Sugababes;862
Sunshine Anderson;Sunshine Anderson;863
Swedish House Mafia;Swedish House Mafia;864
Switchfoot;Switchfoot;865
t.A.T.u.;t.A.T.u.;867
T.I.;T.I.;868
T2;T2;869
Taio Cruz;Taio Cruz;870
Take That;Take That;871
Talking Heads;Talking Heads;872
Tame Impala;Tame Impala;873
Tamia;Tamia;874
Taylor Swift;Taylor Swift;875
Terror Squad;Terror Squad;876
The 5th Dimension;The 5th Dimension;877
The All-American Rejects;The All American Rejects;878
The Allman Brothers Band;The Allman Brothers Band;879
The Band;The Band;880
The Band Perry;The Band Perry;881
The Beatles;The Beatles;882
The Byrds;The Byrds;883
The Calling;The Calling;884
The Chainsmokers;The Chainsmokers;885
The Chemical Brothers;The Chemical Brothers;886
The Clash;The Clash;887
The Corrs;The Corrs;888
The Doobie Brothers;The Doobie Brothers;889
The Doors;The Doors;890
The Drifters;The Drifters;892
The Eagles;The Eagles;893
The Four Tops;The Four Tops;894
The Fratellis;The Fratellis;895
The Fray;The Fray;896
The Game;The Game;897
The Goo Goo Dolls;The Goo Goo Dolls;898
The Kinks;The Kinks;899
The Kooks;The Kooks;900
The Lumineers;The Lumineers;901
The Neighbourhood;The Neighbourhood;902
The Notorious B.I.G.;The Notorious B.I.G.;903
The Offspring;The Offspring;904
The Police;The Police;905
The Prodigy;The Prodigy;906
The Pussycat Dolls;The Pussycat Dolls;907
The Raconteurs;The Raconteurs;908
The Ramones;The Ramones;909
The Rasmus;The Rasmus;910
The Red Jumpsuit Apparatus;The Red Jumpsuit Apparatus;911
The Rolling Stones;The Rolling Stones;912
The Roots;The Roots;913
The Saturdays;The Saturdays;914
The Script;The Script;915
The Shapeshifters;The Shapeshifters;916
The Shirelles;The Shirelles;917
The Stooges;The Stooges;918
The Streets;The Streets;919
The Strokes;The Strokes;920
The Strumbellas;The Strumbellas;921
The Supermen Lovers;The Supermen Lovers;922
The Temptations;The Temptations;923
The Ting Tings;The Ting Tings;924
The Vamps;The Vamps;925
The Veronicas;The Veronicas;926
The Wanted;The Wanted;927
The Weeknd;The Weeknd;928
The White Stripes;The White Stripes;929
The Who;The Who;930
The xx;The xx;931
The Yardbirds;The Yardbirds;932
The-Dream;The Dream;891
Thirty Seconds To Mars;Thirty Seconds To Mars;933
Thomas Rhett;Thomas Rhett;934
Three Days Grace;Three Days Grace;935
Tiësto;Tiesto;936
Tim Berg;Tim Berg;937
Timbaland;Timbaland;938
Tina Turner;Tina Turner;939
Tinashe;Tinashe;940
Tinchy Stryder;Tinchy Stryder;941
Tinie Tempah;Tinie Tempah;942
Toby Keith;Toby Keith;943
Tom Jones;Tom Jones;944
Tom Odell;Tom Odell;945
Tom Petty;Tom Petty;946
Tom Walker;Tom Walker;947
Tones And I;Tones And I;948
Toni Braxton;Toni Braxton;949
Tony Bennett;Tony Bennett;950
Tool;Tool;951
Tory Lanez;Tory Lanez;952
Toto;Toto;953
Tove Lo;Tove Lo;954
T-Pain;T Pain;866
Train;Train;955
Trans-Siberian Orchestra;Trans Siberian Orchestra;956
Trapt;Trapt;957
Travie McCoy;Travie McCoy;958
Travis;Travis;959
Travis Scott;Travis Scott;960
Trey Songz;Trey Songz;961
Trick Daddy;Trick Daddy;962
Trillville;Trillville;963
Truth Hurts;Truth Hurts;964
Tweet;Tweet;965
Twenty One Pilots;Twenty One Pilots;966
Twista;Twista;967
Two Door Cinema Club;Two Door Cinema Club;968
Tyga;Tyga;969
Tyler;Tyler;970
Tyrese;Tyrese;971
U2;U2;972
Ultrabeat;Ultrabeat;973
Unk;Unk;974
USA for Africa;USA for Africa;975
Usher;Usher;976
Van Morrison;Van Morrison;977
Vance Joy;Vance Joy;978
Vanessa Carlton;Vanessa Carlton;979
Various artists[C] Produced by T Bone Burnett;Various artists Produced by T Bone Burnett;980
Vaughn Meader;Vaughn Meader;981
Velvet Underground;Velvet Underground;982
Vengaboys;Vengaboys;983
Waka Flocka Flame;Waka Flocka Flame;984
Wale;Wale;985
Wayne Wonder;Wayne Wonder;986
Weezer;Weezer;987
Westlife;Westlife;988
Wheatus;Wheatus;989
Whitney Houston[B];Whitney Houston;990
Wiley;Wiley;991
Will Smith;Will Smith;992
Will Young;Will Young;993
will.i.am;will.i.am;994
WILLOW;WILLOW;995
Wiz Khalifa;Wiz Khalifa;996
Wyclef Jean;Wyclef Jean;997
X Ambassadors;X Ambassadors;998
XXXTentacion;XXXTentacion;999
Years & Years;Years and Years;1000
YG;YG;1001
Ying Yang Twins;Ying Yang Twins;1002
Ylvis;Ylvis;1003
Yo Gotti;Yo Gotti;1004
Yoko Ono;Yoko Ono;1005
Yolanda Be Cool;Yolanda Be Cool;1006
Young Money;Young Money;1007
Young T & Bugsey;Young T and Bugsey;1008
Young Thug;Young Thug;1009
Youngbloodz;Youngbloodz;1010
YoungBoy Never Broke Again;YoungBoy Never Broke Again;1011
Yung Joc;Yung Joc;1012
Zac Brown Band;Zac Brown Band;1013
Zara Larsson;Zara Larsson;1014
Zay Hilfigerrr;Zay Hilfigerrr;1015
ZAYN;ZAYN;1016
Zedd;Zedd;1017
ZHU;ZHU;1018
