,ID Artist,year,genre,duration,popularity
106,816,2001,pop,196.16,74
106,816,2001,latin,196.16,74
107,445,2001,rock,165.853,78
107,445,2001,pop,165.853,78
108,955,2001,pop,259.933,77
109,358,2001,pop,254.64,62
110,123,2001,pop,250.706,71
110,123,2001,r&b,250.706,71
111,147,2001,pop,203.6,69
112,512,2001,pop,197.826,62
112,512,2001,dance/electronic,197.826,62
113,628,2001,hiphop,252.986,57
113,628,2001,pop,252.986,57
113,628,2001,r&b,252.986,57
114,603,2001,pop,265.866,76
114,603,2001,r&b,265.866,76
115,308,2015,pop,222.435,53
115,308,2015,dance/electronic,222.435,53
116,547,2000,metal,213.76,73
117,520,2001,pop,220.973,65
118,403,2006,dance/electronic,253.586,54
119,290,2001,pop,241.0,54
120,2,2001,hiphop,264.933,57
120,2,2001,pop,264.933,57
120,2,2001,r&b,264.933,57
121,124,2001,pop,223.546,63
122,440,2001,pop,194.026,43
122,440,2001,r&b,194.026,43
123,207,1999,rock,216.733,71
123,207,1999,metal,216.733,71
124,616,2001,pop,337.733,64
124,616,2001,r&b,337.733,64
125,302,2001,hiphop,230.133,73
125,302,2001,pop,230.133,73
125,302,2001,r&b,230.133,73
126,437,2001,hiphop,246.16,0
126,437,2001,pop,246.16,0
126,437,2001,r&b,246.16,0
127,144,2002,hiphop,271.626,50
127,144,2002,pop,271.626,50
127,144,2002,r&b,271.626,50
128,666,2001,rock,223.84,78
128,666,2001,metal,223.84,78
129,217,2001,hiphop,320.357,76
129,217,2001,dance/electronic,320.357,76
130,697,2000,hiphop,270.506,82
130,697,2000,pop,270.506,82
131,333,2001,pop,213.346,50
131,333,2001,dance/electronic,213.346,50
132,591,2001,pop,229.173,42
132,591,2001,r&b,229.173,42
133,246,1999,pop,218.36,73
134,448,2000,pop,213.026,57
134,448,2000,r&b,213.026,57
135,700,2001,rock,256.24,69
135,700,2001,metal,256.24,69
136,437,2001,hiphop,211.493,57
136,437,2001,pop,211.493,57
136,437,2001,r&b,211.493,57
137,628,2001,hiphop,211.12,68
137,628,2001,pop,211.12,68
137,628,2001,r&b,211.12,68
138,759,2008,pop,252.706,52
138,759,2008,latin,252.706,52
139,194,2001,hiphop,231.213,60
139,194,2001,pop,231.213,60
139,194,2001,r&b,231.213,60
140,774,2000,dance/electronic,452.906,50
141,368,2001,hiphop,340.92,74
142,5,2001,hiphop,266.506,57
143,874,2000,pop,285.386,48
143,874,2000,r&b,285.386,48
144,603,2001,pop,326.24,61
144,603,2001,r&b,326.24,61
145,437,2001,hiphop,221.226,67
145,437,2001,pop,221.226,67
145,437,2001,r&b,221.226,67
146,426,2001,pop,295.4,65
147,171,2001,hiphop,284.666,55
147,171,2001,pop,284.666,55
147,171,2001,r&b,284.666,55
148,2,2001,hiphop,193.093,63
148,2,2001,pop,193.093,63
148,2,2001,r&b,193.093,63
149,322,2001,pop,218.626,47
150,783,2001,dance/electronic,213.133,54
151,39,2001,rock,209.266,75
151,39,2001,metal,209.266,75
152,298,2001,hiphop,223.133,57
152,298,2001,pop,223.133,57
153,212,2001,hiphop,304.506,68
153,212,2001,pop,304.506,68
153,212,2001,rock,304.506,68
154,976,2016,hiphop,210.813,26
154,976,2016,pop,210.813,26
154,976,2016,r&b,210.813,26
155,583,2000,pop,280.973,53
156,124,2001,pop,207.56,58
157,68,2001,pop,195.506,58
158,417,2001,hiphop,232.573,67
158,417,2001,pop,232.573,67
158,417,2001,r&b,232.573,67
159,20,2001,hiphop,197.76,68
160,787,2001,pop,233.626,63
161,205,2000,hiphop,257.2,60
161,205,2000,pop,257.2,60
161,205,2000,r&b,257.2,60
162,659,2000,hiphop,276.106,1
162,659,2000,pop,276.106,1
162,659,2000,latin,276.106,1
163,922,2001,dance/electronic,234.4,61
164,627,2004,pop,207.4,46
164,627,2004,dance/electronic,207.4,46
165,417,2000,hiphop,246.72,56
165,417,2000,pop,246.72,56
165,417,2000,r&b,246.72,56
166,787,2001,pop,201.533,60
167,293,2000,world/traditional,218.546,69
167,293,2000,folk/acoustic,218.546,69
168,307,2001,pop,222.12,60
168,307,2001,country,222.12,60
169,777,2000,pop,212.973,58
169,777,2000,rock,212.973,58
170,242,2001,pop,207.906,64
170,242,2001,r&b,207.906,64
171,853,2000,pop,197.36,53
171,853,2000,dance/electronic,197.36,53
172,863,2001,pop,295.826,56
172,863,2001,r&b,295.826,56
173,527,2000,rock,231.666,68
173,527,2000,pop,231.666,68
174,218,2002,pop,162.333,46
175,230,2018,dance/electronic,231.166,0
176,427,2001,pop,329.933,65
176,427,2001,r&b,329.933,65
177,68,2001,pop,185.013,66
178,413,2001,hiphop,257.066,64
178,413,2001,pop,257.066,64
178,413,2001,r&b,257.066,64
179,242,2001,pop,221.133,65
179,242,2001,r&b,221.133,65
180,257,2001,dance/electronic,217.12,54
181,437,2001,hiphop,262.133,66
181,437,2001,pop,262.133,66
181,437,2001,r&b,262.133,66
182,642,2000,pop,304.666,0
182,642,2000,r&b,304.666,0
183,842,2001,dance/electronic,302.826,51
184,766,2001,pop,302.76,48
184,766,2001,rock,302.76,48
185,92,2001,pop,217.493,0
185,92,2001,dance/electronic,217.493,0
186,563,2000,hiphop,300.933,54
186,563,2000,pop,300.933,54
187,347,2001,pop,219.093,60
187,347,2001,r&b,219.093,60
188,658,2000,hiphop,291.781,75
188,658,2000,pop,291.781,75
188,658,2000,r&b,291.781,75
189,962,2001,hiphop,254.4,59
189,962,2001,pop,254.4,59
190,959,2001,rock,228.8,68
190,959,2001,pop,228.8,68
191,434,2001,hiphop,240.626,63
192,347,2001,pop,196.986,69
192,347,2001,r&b,196.986,69
193,693,2000,rock,257.426,56
194,470,2019,pop,262.773,30
194,470,2019,r&b,262.773,30
195,849,2001,rock,264.706,64
195,849,2001,metal,264.706,64
196,1,2000,pop,263.44,56
196,1,2000,r&b,263.44,56
197,361,2001,hiphop,265.533,65
197,361,2001,pop,265.533,65
197,361,2001,r&b,265.533,65
198,680,2001,pop,292.0,45
199,532,2000,pop,216.36,61
199,532,2000,rock,216.36,61
199,532,2000,metal,216.36,61
200,658,2002,hiphop,289.16,77
200,658,2002,pop,289.16,77
200,658,2002,r&b,289.16,77
201,289,2002,hiphop,290.32,87
202,74,2002,pop,244.506,78
203,979,2002,folk/acoustic,237.493,75
203,979,2002,pop,237.493,75
204,884,2001,pop,208.6,72
205,816,2001,pop,224.066,64
205,816,2001,latin,224.066,64
206,676,2001,rock,302.72,27
206,676,2001,pop,302.72,27
207,964,2002,pop,226.44,58
207,964,2002,r&b,226.44,58
208,155,2002,hiphop,324.306,68
208,155,2002,pop,324.306,68
209,289,2002,hiphop,297.786,85
210,245,2004,hiphop,285.586,69
210,245,2004,pop,285.586,69
211,194,2001,hiphop,222.546,60
211,194,2001,pop,222.546,60
211,194,2001,r&b,222.546,60
212,583,2003,pop,276.36,53
213,437,2002,hiphop,172.24,53
213,437,2002,pop,172.24,53
213,437,2002,r&b,172.24,53
214,51,2019,pop,244.466,40
215,548,2000,rock,216.88,83
215,548,2000,metal,216.88,83
216,519,2002,set(),213.973,66
217,15,2019,hiphop,275.026,0
217,15,2019,pop,275.026,0
217,15,2019,r&b,275.026,0
218,391,2002,pop,204.4,54
218,391,2002,dance/electronic,204.4,54
219,862,2002,pop,236.426,59
219,862,2002,r&b,236.426,59
220,592,2003,rock,200.426,60
220,592,2003,metal,200.426,60
221,144,2002,hiphop,253.2,43
221,144,2002,pop,253.2,43
221,144,2002,r&b,253.2,43
222,175,2003,metal,200.48,66
223,147,2001,pop,198.6,61
224,803,2013,pop,234.116,46
224,803,2013,dance/electronic,234.116,46
225,628,2001,hiphop,289.373,49
225,628,2001,pop,289.373,49
225,628,2001,r&b,289.373,49
226,15,2002,hiphop,230.346,42
226,15,2002,pop,230.346,42
226,15,2002,r&b,230.346,42
227,144,2002,hiphop,248.933,52
227,144,2002,pop,248.933,52
227,144,2002,r&b,248.933,52
228,124,2002,pop,207.186,60
229,155,2001,hiphop,238.6,55
229,155,2001,pop,238.6,55
