,artist,duration_ms,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,year_min,year_max,name
33,Alex and Sierra,185200.0,0.0,75.0,0.5,0.292,-8.554,0.0323,0.746,0.0,0.188,145.879,0.37,2014,2014,1
34,Alexandra Burke,212153.0,0.0,60.0,0.4235,0.6455,-4.9475,0.04145,0.33275,0.0,0.27649999999999997,161.3,0.3651,2009,2009,2
35,Alexandra Stan,195105.0,0.0,0.0,0.726,0.931,-4.152,0.0468,0.0218,0.000283,0.143,126.976,0.797,2011,2011,1
36,Alice Deejay,214883.0,0.0,73.0,0.671,0.88,-6.149,0.0552,0.00181,0.691,0.285,136.953,0.782,2000,2000,1
37,Alicia Keys,280086.5,0.0,61.0,0.5723333333333334,0.5318333333333333,-7.616666666666667,0.08346666666666668,0.38553333333333334,0.0015695083333333332,0.1363,106.36016666666667,0.3365,2001,2009,6
38,Alien Ant Farm,209266.0,0.0,75.0,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,126.928,0.87,2001,2001,1
39,All Saints,268746.0,0.0,62.0,0.631,0.664,-9.197,0.0242,0.0498,0.00042,0.0696,100.618,0.407,2000,2000,1
40,All Time Low,182826.0,0.0,76.0,0.459,0.895,-3.126,0.0805,0.00725,0.0,0.206,181.04,0.572,2007,2007,1
41,Aloe Blacc,243053.0,0.0,1.0,0.84,0.482,-7.116,0.0333,0.202,0.0,0.0873,95.498,0.957,2010,2010,1
42,Alok,192846.0,0.0,51.0,0.788,0.43,-7.757,0.0419,0.537,0.00261,0.0936,121.996,0.461,2016,2016,1
43,AlunaGeorge,209425.0,0.0,0.0,0.734,0.847,-3.713,0.0346,0.355,0.000144,0.154,104.013,0.673,2016,2016,1
44,Amanda Perez,218760.0,0.0,48.0,0.638,0.54,-6.849,0.0473,0.506,0.0,0.157,143.772,0.352,2003,2003,1
45,Amerie,238746.0,0.0,52.0,0.636,0.946,-4.683,0.332,0.115,3.75e-05,0.0416,125.085,0.891,2008,2008,1
46,Amy Winehouse,237728.33333333334,0.3333333333333333,70.0,0.505,0.5953333333333334,-10.393333333333333,0.041133333333333334,0.0671,0.001434003333333333,0.16540000000000002,99.30866666666667,0.6296666666666667,2006,2006,3
47,Anastacia,238364.0,0.0,61.666666666666664,0.674,0.7766666666666667,-4.639666666666667,0.041800000000000004,0.15826,0.0,0.14966666666666667,107.36833333333334,0.48133333333333334,1999,2004,3
48,Angie Martinez,244466.0,0.0,40.0,0.583,0.643,-7.486,0.355,0.171,0.0,0.0395,195.685,0.7,2019,2019,1
49,Anne Marie,197561.0,0.3333333333333333,64.66666666666667,0.717,0.718,-3.6839999999999997,0.1451,0.0818,0.0,0.15433333333333332,116.38133333333333,0.6196666666666667,2016,2018,3
50,Anuel AA,280257.0,0.0,75.5,0.7965,0.8055000000000001,-3.929,0.1071,0.3433,0.004409499999999999,0.1091,98.507,0.6575,2019,2019,2
51,Arctic Monkeys,196439.2,0.2,75.6,0.5084,0.792,-5.5456,0.09894,0.0541463,0.00036486,0.18022,122.91019999999999,0.5706,2006,2013,5
52,Ariana Grande,212179.64285714287,0.35714285714285715,54.214285714285715,0.6226428571428572,0.6799285714285714,-5.431642857142857,0.12892857142857145,0.09756714285714285,0.00043277428571428575,0.16870714285714286,129.03685714285714,0.40078571428571425,2013,2019,14
53,Armand Van Helden,190000.0,0.0,40.0,0.678,0.768,-8.502,0.137,0.0195,0.00866,0.0322,127.51,0.758,2006,2006,1
54,Armin van Buuren,204360.0,0.0,66.0,0.551,0.833,-5.217,0.03,0.0391,2.77e-06,0.0632,129.885,0.145,2013,2013,1
55,Asaf Avidan and the Mojos,212360.0,0.0,0.0,0.821,0.676,-6.366,0.0547,0.187,0.0001,0.0927,119.012,0.559,2012,2012,1
56,Ashanti,241450.66666666666,0.5,59.5,0.646,0.6511666666666667,-4.959666666666666,0.0734,0.2308,2.125e-06,0.11464999999999999,101.74149999999999,0.583,2002,2004,6
